company name,rating,reviews,salaries,interviews,job,benifits,photo
Tata Motors Finance,4.2,1.5k,4.5k,58,8,156,11
RMSI,3.8,1.5k,7.2k,72,17,190,--
Power Mech Projects,3.9,1.4k,6.2k,80,2,166,4
Star Health & Allied Insurance,3.9,1.5k,7.2k,71,20,172,3
café Coffee day,4.0,1.4k,4.2k,43,14,184,2
Adani Wilmar,4.2,1.4k,5.7k,77,9,179,6
IntouchCX,3.0,1.5k,6.9k,131,64,159,16
JK Tyres,3.8,1.4k,6.2k,72,2,196,3
Gabriel India,4.2,1.4k,5.4k,76,--,257,--
KIA MOTORS,3.9,1.5k,6.7k,100,7,186,12
Straive,3.5,1.5k,8.2k,131,79,131,15
DBS Bank,3.9,1.5k,11.9k,113,27,195,6
Lucas-TVS,4.0,1.4k,5.6k,62,3,227,4
Bank of Baroda,3.6,1.4k,6.1k,77,--,158,13
Planet Spark,3.7,1.5k,2.6k,289,106,213,1
Laurus Labs,4.2,1.5k,6.4k,88,4,228,9
Sify Technologies,4.0,1.4k,9k,98,49,158,3
Hero FinCorp,4.2,1.5k,4.6k,69,10,138,--
ValueLabs,3.9,1.4k,15.2k,131,71,291,11
Hindustan Aeronautics,4.4,1.4k,3.9k,57,--,179,2
Adani Power,3.9,1.5k,7.7k,163,--,173,4
Indian Navy,4.6,1.3k,3.4k,18,--,253,--
Parle Products,4.0,1.4k,4k,68,6,210,1
ABC,4.0,1.6k,39k,371,15,86,--
Akums Drugs & Pharmaceuticals Limited,4.2,1.5k,5.6k,93,14,169,18
Thomson Reuters,4.2,1.4k,10.3k,70,5,241,--
upGrad,3.8,1.5k,7.3k,154,118,148,18
ESAF Microfinance & Investments (P),3.9,1.5k,6.2k,89,25,109,8
Taurus BPO Services,4.6,1.4k,698,15,--,525,6
Uflex,3.8,1.3k,6.3k,84,24,126,8
Intellect Design Arena,4.1,1.5k,11.4k,104,3,198,8
AECOM,4.3,1.4k,5.8k,93,3,254,13
SAP,4.3,1.4k,14.9k,215,142,318,12
TVS Sundram Fasteners,3.8,1.3k,6.3k,51,--,215,2
Citibank,4.0,1.4k,15.9k,132,6,216,6
